treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.181938530968557	2014	11.181938530968557	1
Control	11.181938530968557	2015	11.321577905004364	1.0124879396939157
Control	11.181938530968557	2016	11.288832150974844	1.0095594891449495
Control	11.181938530968557	2017	11.467686301235446	1.0255544036014423
Treatment	12.538958624689345	2014	12.538958624689345	1
Treatment	12.538958624689345	2015	11.946285902668135	0.9527334972735112
Treatment	12.538958624689345	2016	12.086982174644087	0.9639542274941947
Treatment	12.538958624689345	2017	12.00196121519088	0.9571736835911467
