position	percentil	lag	tasa_media	anio
0.01	0	0	9.990380947125295e-6	2015
0.02	0	0	9.990380947125295e-6	2015
0.03	0	0	9.990380947125295e-6	2015
0.04	0	0	9.990380947125295e-6	2015
0.05	0	0	9.990380947125295e-6	2015
0.06	0	0	9.990380947125295e-6	2015
0.07	0	0	9.990380947125295e-6	2015
0.08	0	0	9.990380947125295e-6	2015
0.09	0	0	9.990380947125295e-6	2015
0.1	0	0	9.990380947125295e-6	2015
0.11	0	0	9.990380947125295e-6	2015
0.12	0	0	9.990380947125295e-6	2015
0.13	0	0	9.990380947125295e-6	2015
0.14	0	0	9.990380947125295e-6	2015
0.15	0	0	9.990380947125295e-6	2015
0.16	0	0	9.990380947125295e-6	2015
0.17	0	0	9.990380947125295e-6	2015
0.18	0	0	9.990380947125295e-6	2015
0.19	0	0	9.990380947125295e-6	2015
0.2	0	0	9.990380947125295e-6	2015
0.21	0	0	9.990380947125295e-6	2015
0.22	0	0	9.990380947125295e-6	2015
0.23	0	0	9.990380947125295e-6	2015
0.24	0	0	9.990380947125295e-6	2015
0.25	0	0	9.990380947125295e-6	2015
0.26	0	0	9.990380947125295e-6	2015
0.27	0	0	9.990380947125295e-6	2015
0.28	0	0	9.990380947125295e-6	2015
0.29	0	0	9.990380947125295e-6	2015
0.3	0	0	9.990380947125295e-6	2015
0.31	0	0	9.990380947125295e-6	2015
0.32	0	0	9.990380947125295e-6	2015
0.33	0	0	9.990380947125295e-6	2015
0.34	0	0	9.990380947125295e-6	2015
0.35000000000000003	0	0	9.990380947125295e-6	2015
0.36	0	0	9.990380947125295e-6	2015
0.37	0	0	9.990380947125295e-6	2015
0.38	0	0	9.990380947125295e-6	2015
0.39	0	0	9.990380947125295e-6	2015
0.4	0	0	9.990380947125295e-6	2015
0.41000000000000003	0	0	9.990380947125295e-6	2015
0.42	0	0	9.990380947125295e-6	2015
0.43	0	0	9.990380947125295e-6	2015
0.44	0	0	9.990380947125295e-6	2015
0.45	0	0	9.990380947125295e-6	2015
0.46	5	0	0.001370646685549004	2015
0.47000000000000003	88.00400000000009	5	0.06975607183990194	2015
0.48	340.2579999999993	88.00400000000009	0.07265565163972605	2015
0.49	893.2420000000008	340.2579999999993	0.06055434002617613	2015
0.5	1650	893.2420000000008	0.0867110038338227	2015
