position	percentil	lag	tasa_media	anio
0.01	39.684999999999945	0	0.23496348256579905	2015
0.02	150	39.684999999999945	0.23242685228200644	2015
0.03	500	150	0.23152297127445695	2015
0.04	1000	500	0.23008380156041242	2015
0.05	1736.2040000000002	1000	0.22986784205030558	2015
0.06	2490.0864	1736.2040000000002	0.2270125129151995	2015
0.07	3440	2490.0864	0.2284651976311993	2015
0.08	4458.492399999999	3440	0.22782480747545877	2015
0.09	5503.3078000000005	4458.492399999999	0.22872175626034255	2015
0.1	6546.872	5503.3078000000005	0.22805884137431817	2015
0.11	7770.9116	6546.872	0.2277973256431708	2015
0.12	9078.48	7770.9116	0.22798122319035063	2015
0.13	10403.1698	9078.48	0.22950764477755609	2015
0.14	11937.436000000002	10403.1698	0.2268559925111621	2015
0.15	13319.342999999999	11937.436000000002	0.2270249084161389	2015
0.16	15009.9352	13319.342999999999	0.22635038743030725	2015
0.17	16730.404400000007	15009.9352	0.22703593080477344	2015
0.18	18552.200000000004	16730.404400000007	0.226062603326262	2015
0.19	20599.02	18552.200000000004	0.22322337869792133	2015
0.2	22706.952000000005	20599.02	0.22598833344633518	2015
0.21	24840.126	22706.952000000005	0.22420499449587103	2015
0.22	27119.9536	24840.126	0.22346529890201491	2015
0.23	29576.693	27119.9536	0.2234826157886004	2015
0.24	32071.748400000004	29576.693	0.22392151542449207	2015
0.25	34865.935	32071.748400000004	0.2238469885439404	2015
0.26	37625.028	34865.935	0.22153501438096904	2015
0.27	40618.2684	37625.028	0.2208243015651506	2015
0.28	44115.0352	40618.2684	0.22121229588312452	2015
0.29	47634.288799999995	44115.0352	0.22161115483505936	2015
0.3	50874.372	47634.288799999995	0.22029502541449333	2015
0.31	54687.698399999994	50874.372	0.2209329325102819	2015
0.32	58378.529200000004	54687.698399999994	0.22291142155727703	2015
0.33	62461.5012	58378.529200000004	0.2220976183899235	2015
0.34	66564.398	62461.5012	0.22288980000077793	2015
0.35000000000000003	71166.64000000003	66564.398	0.22173749889052224	2015
0.36	75719.54040000001	71166.64000000003	0.22062776886344618	2015
0.37	80340.8608	75719.54040000001	0.2222124790931471	2015
0.38	85408.78080000002	80340.8608	0.2241334859795701	2015
0.39	90972.60459999999	85408.78080000002	0.22343169942321564	2015
0.4	96384.89600000001	90972.60459999999	0.22283439479515135	2015
0.41000000000000003	102101.06840000003	96384.89600000001	0.2204473113442942	2015
0.42	108448.5296	102101.06840000003	0.22318616518519718	2015
0.43	114735.31679999999	108448.5296	0.22284715662605487	2015
0.44	121159.42000000001	114735.31679999999	0.22289137605099701	2015
0.45	127622.09000000003	121159.42000000001	0.2214831061542103	2015
0.46	134957.2964	127622.09000000003	0.22146203423621563	2015
0.47000000000000003	142724.93560000003	134957.2964	0.2230952604658828	2015
0.48	151155.0352	142724.93560000003	0.22407320805715894	2015
0.49	159294.25699999998	151155.0352	0.22350634541137002	2015
0.5	167600	159294.25699999998	0.221797799611018	2015
0.51	177301.03060000006	167600	0.22220729489815122	2015
0.52	187241.2576	177301.03060000006	0.22033829998786106	2015
0.53	197685.15920000002	187241.2576	0.2229425042427916	2015
0.54	209100.402	197685.15920000002	0.22339416839918988	2015
0.55	221197.43400000004	209100.402	0.22228519760141696	2015
0.56	233710.9096000003	221197.43400000004	0.22300639155092428	2015
0.5700000000000001	247209.43820000088	233710.9096000003	0.22288672557732309	2015
0.58	260303.49959999998	247209.43820000088	0.22175476775899253	2015
0.59	274242.8918	260303.49959999998	0.22150355281347092	2015
0.6	289753.74	274242.8918	0.22241365414810382	2015
0.61	305343.62400000007	289753.74	0.22169165343716807	2015
0.62	324340.63239999994	305343.62400000007	0.2229377389847236	2015
0.63	343433.66140000004	324340.63239999994	0.22088146803628406	2015
0.64	363545.1024	343433.66140000004	0.21999446356008706	2015
0.65	384786.9590000002	363545.1024	0.220834802962482	2015
0.66	406998.3783999999	384786.9590000002	0.22202929315852857	2015
0.67	429097.94260000007	406998.3783999999	0.22160631834934263	2015
0.68	454592.35000000003	429097.94260000007	0.22165918244923258	2015
0.6900000000000001	483033.76	454592.35000000003	0.21986016673867137	2015
0.7000000000000001	510912.4360000001	483033.76	0.2221967129829634	2015
0.71	542173.7446	510912.4360000001	0.22211581254878054	2015
0.72	578944.0776000001	542173.7446	0.22237544209022767	2015
0.73	615601.0949999999	578944.0776000001	0.22187713312571436	2015
0.74	657869.9935999999	615601.0949999999	0.22335081647238925	2015
0.75	699776.1599999999	657869.9935999999	0.22201268864120108	2015
0.76	746186.3328000002	699776.1599999999	0.22145185822967975	2015
0.77	800522.3650000007	746186.3328000002	0.22237689885149142	2015
0.78	858207.9587999997	800522.3650000007	0.22132902380289426	2015
0.79	923703.8393999999	858207.9587999997	0.2226848178361552	2015
0.8	995803.846	923703.8393999999	0.22195256252668621	2015
0.81	1070516.8638000002	995803.846	0.24658696127311883	2015
0.8200000000000001	1168199.4136000022	1070516.8638000002	0.2511073170144671	2015
0.8300000000000001	1265096.1256000027	1168199.4136000022	0.24907879629468457	2015
0.84	1379829.0308	1265096.1256000027	0.2508118270849601	2015
0.85	1527298.8229999999	1379829.0308	0.2501263720004421	2015
0.86	1669251.8219999995	1527298.8229999999	0.25055194042768836	2015
0.87	1842955.6021999996	1669251.8219999995	0.25027876637953855	2015
0.88	2058844.9108000002	1842955.6021999996	0.2507854518751857	2015
0.89	2325602.883000004	2058844.9108000002	0.24990495067951005	2015
0.9	2632917.028000002	2325602.883000004	0.2502112356604867	2015
0.91	2985005.1101999995	2632917.028000002	0.2493387402872218	2015
