position	percentil	lag	tasa_media	anio
0.01	0	0	9.990380947125295e-6	2019
0.02	0	0	9.990380947125295e-6	2019
0.03	0	0	9.990380947125295e-6	2019
0.04	0	0	9.990380947125295e-6	2019
0.05	0	0	9.990380947125295e-6	2019
0.06	0	0	9.990380947125295e-6	2019
0.07	0	0	9.990380947125295e-6	2019
0.08	0	0	9.990380947125295e-6	2019
0.09	0	0	9.990380947125295e-6	2019
0.1	0	0	9.990380947125295e-6	2019
0.11	0	0	9.990380947125295e-6	2019
0.12	0	0	9.990380947125295e-6	2019
0.13	0	0	9.990380947125295e-6	2019
0.14	0	0	9.990380947125295e-6	2019
0.15	0	0	9.990380947125295e-6	2019
0.16	0	0	9.990380947125295e-6	2019
0.17	0	0	9.990380947125295e-6	2019
0.18	0	0	9.990380947125295e-6	2019
0.19	0	0	9.990380947125295e-6	2019
0.2	0	0	9.990380947125295e-6	2019
0.21	0	0	9.990380947125295e-6	2019
0.22	0	0	9.990380947125295e-6	2019
0.23	0	0	9.990380947125295e-6	2019
0.24	0	0	9.990380947125295e-6	2019
0.25	0	0	9.990380947125295e-6	2019
0.26	0	0	9.990380947125295e-6	2019
0.27	0	0	9.990380947125295e-6	2019
0.28	0	0	9.990380947125295e-6	2019
0.29	0	0	9.990380947125295e-6	2019
0.3	0	0	9.990380947125295e-6	2019
0.31	0	0	9.990380947125295e-6	2019
0.32	0	0	9.990380947125295e-6	2019
0.33	0	0	9.990380947125295e-6	2019
0.34	0	0	9.990380947125295e-6	2019
0.35000000000000003	0	0	9.990380947125295e-6	2019
0.36	0	0	9.990380947125295e-6	2019
0.37	0	0	9.990380947125295e-6	2019
0.38	0	0	9.990380947125295e-6	2019
0.39	0	0	9.990380947125295e-6	2019
0.4	0	0	9.990380947125295e-6	2019
0.41000000000000003	0	0	9.990380947125295e-6	2019
0.42	0	0	9.990380947125295e-6	2019
0.43	0	0	9.990380947125295e-6	2019
0.44	1	0	6.776105924192486e-4	2019
0.45	10	1	0.07105570959933984	2019
0.46	30	10	0.07667895558324342	2019
0.47000000000000003	91.06250000000043	30	0.06145180042540658	2019
0.48	200	91.06250000000043	0.06741855898295347	2019
0.49	410	200	0.07803962824842567	2019
0.5	791.335	410	0.06180766178443893	2019
0.51	1350.6499999999983	791.335	0.08228481566485955	2019
0.52	2169.6000000000004	1350.6499999999983	0.12642817576884535	2019
0.53	3200	2169.6000000000004	0.10896049454306449	2019
