position	percentil	lag	tasa_media	anio
0.01	0	0	9.990380947125295e-6	2016
0.02	0	0	9.990380947125295e-6	2016
0.03	0	0	9.990380947125295e-6	2016
0.04	0	0	9.990380947125295e-6	2016
0.05	0	0	9.990380947125295e-6	2016
0.06	0	0	9.990380947125295e-6	2016
0.07	0	0	9.990380947125295e-6	2016
0.08	0	0	9.990380947125295e-6	2016
0.09	0	0	9.990380947125295e-6	2016
0.1	0	0	9.990380947125295e-6	2016
0.11	0	0	9.990380947125295e-6	2016
0.12	0	0	9.990380947125295e-6	2016
0.13	0	0	9.990380947125295e-6	2016
0.14	0	0	9.990380947125295e-6	2016
0.15	0	0	9.990380947125295e-6	2016
0.16	0	0	9.990380947125295e-6	2016
0.17	0	0	9.990380947125295e-6	2016
0.18	0	0	9.990380947125295e-6	2016
0.19	0	0	9.990380947125295e-6	2016
0.2	0	0	9.990380947125295e-6	2016
0.21	0	0	9.990380947125295e-6	2016
0.22	0	0	9.990380947125295e-6	2016
0.23	0	0	9.990380947125295e-6	2016
0.24	0	0	9.990380947125295e-6	2016
0.25	0	0	9.990380947125295e-6	2016
0.26	0	0	9.990380947125295e-6	2016
0.27	0	0	9.990380947125295e-6	2016
0.28	0	0	9.990380947125295e-6	2016
0.29	0	0	9.990380947125295e-6	2016
0.3	0	0	9.990380947125295e-6	2016
0.31	0	0	9.990380947125295e-6	2016
0.32	0	0	9.990380947125295e-6	2016
0.33	0	0	9.990380947125295e-6	2016
0.34	0	0	9.990380947125295e-6	2016
0.35000000000000003	0	0	9.990380947125295e-6	2016
0.36	0	0	9.990380947125295e-6	2016
0.37	0	0	9.990380947125295e-6	2016
0.38	0	0	9.990380947125295e-6	2016
0.39	0	0	9.990380947125295e-6	2016
0.4	0	0	9.990380947125295e-6	2016
0.41000000000000003	0	0	9.990380947125295e-6	2016
0.42	0	0	9.990380947125295e-6	2016
0.43	0	0	9.990380947125295e-6	2016
0.44	0	0	9.990380947125295e-6	2016
0.45	0	0	9.990380947125295e-6	2016
0.46	0.01	0	9.958574958826892e-6	2016
0.47000000000000003	35.08820000000007	0.01	0.06491086709706831	2016
