treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.671170205486439	2014	11.671170205486439	1
Control	11.671170205486439	2015	11.678885569360702	1.0006610617220402
Control	11.671170205486439	2016	11.653021815877466	0.9984450239959279
Control	11.671170205486439	2017	11.723649776334092	1.0044965131965073
Treatment	13.050787672733737	2014	13.050787672733737	1
Treatment	13.050787672733737	2015	12.542872890621071	0.9610816760758568
Treatment	13.050787672733737	2016	12.627740536461456	0.9675845514553785
Treatment	13.050787672733737	2017	12.141124152435877	0.9302981901852279
