treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.105302233430846	2014	11.105302233430846	1
Control	11.105302233430846	2015	11.34156547478731	1.02127481417347
Control	11.105302233430846	2016	11.359607768607004	1.0228994699856624
Control	11.105302233430846	2017	11.503396556541452	1.0358472299756238
Treatment	13.167943060591618	2014	13.167943060591618	1
Treatment	13.167943060591618	2015	11.632129242132667	0.8833672190567667
Treatment	13.167943060591618	2016	11.995441571910835	0.9109578858834992
Treatment	13.167943060591618	2017	12.44374229422684	0.9450027416558224
