treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.104132471920064	2014	11.104132471920064	1
Control	11.104132471920064	2015	11.239401299738903	1.0121818456471863
Control	11.104132471920064	2016	11.149989506079125	1.0041297268629517
Control	11.104132471920064	2017	11.328719824038638	1.0202255649134686
Treatment	12.461586446939386	2014	12.461586446939386	1
Treatment	12.461586446939386	2015	11.858902822036772	0.9516366854678735
Treatment	12.461586446939386	2016	11.899707891351795	0.9549111537299018
Treatment	12.461586446939386	2017	11.925541768117096	0.9569842346233578
