treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.743493414075589	2014	10.743493414075589	1
Control	10.743493414075589	2015	10.940337841250733	1.018322199268745
Control	10.743493414075589	2016	10.99986960801285	1.0238633919206734
Control	10.743493414075589	2017	11.055820529733714	1.029071280971693
Treatment	12.678351975840402	2014	12.678351975840402	1
Treatment	12.678351975840402	2015	11.664532293795	0.9200353733689273
Treatment	12.678351975840402	2016	11.95996243350443	0.943337308847008
Treatment	12.678351975840402	2017	12.058232143211798	0.9510882933515105
