term	estimate	std.error	statistic	p.value	conf.low	conf.high	panel
(Intercept)	0.9999999999999926	0.007047507847578476	141.89413075199238	0	0.9861864249987202	1.013813575001265	todas_empresas
treatmenttreatment	-1.6426846583059586e-14	0.017306755361089377	-9.491580738462346e-13	0.9999999999992427	-0.033922369209044456	0.03392236920901161	todas_empresas
pre_postpost	-0.11356154596134324	0.011216281309201413	-10.12470558028726	4.810779761872734e-24	-0.13554618882389197	-0.09157690309879452	todas_empresas
treatmenttreatment:pre_postpost	0.06506040774402383	0.029399234528664095	2.2129966574670603	0.02690747510896683	0.007435990726704082	0.12268482476134357	todas_empresas
(Intercept)	0.9999999999999926	0.007047507847578476	141.89413075199238	0	0.9861864249987202	1.013813575001265	panel_desbalanceado
treatmenttreatment	-1.6426846583059586e-14	0.017306755361089377	-9.491580738462346e-13	0.9999999999992427	-0.033922369209044456	0.03392236920901161	panel_desbalanceado
pre_postpost	-0.11356154596134324	0.011216281309201413	-10.12470558028726	4.810779761872734e-24	-0.13554618882389197	-0.09157690309879452	panel_desbalanceado
treatmenttreatment:pre_postpost	0.06506040774402383	0.029399234528664095	2.2129966574670603	0.02690747510896683	0.007435990726704082	0.12268482476134357	panel_desbalanceado
(Intercept)	0.9999999999999902	0.00811710845020053	123.19657993177185	0	0.9840895880493331	1.0159104119506472	panel_balanceado
treatmenttreatment	-4.877654867399604e-15	0.018859364062542332	-2.5863305099917953e-13	0.9999999999997937	-0.03696639674132892	0.036966396741319164	panel_balanceado
pre_postpost	-0.07715496236941519	0.012573034047004406	-6.136542864750913	8.627033417963684e-10	-0.10179947123421121	-0.05251045350461917	panel_balanceado
treatmenttreatment:pre_postpost	0.07966115181523664	0.031207539348877093	2.5526252142049453	0.010700405854280901	0.01849099374069353	0.14083130988977977	panel_balanceado
(Intercept)	1.0000000000000187	0.007253388282362419	137.86660262372166	0	0.9857828495472373	1.0142171504528	panel_semibalanceado
treatmenttreatment	-9.486342720036232e-15	0.017604177530777695	-5.388688397087051e-13	0.9999999999995701	-0.034505424335437934	0.03450542433541896	panel_semibalanceado
pre_postpost	-0.11356154596134733	0.011256616256896404	-10.088426519094801	6.993487783458368e-24	-0.1356253043985831	-0.09149778752411157	panel_semibalanceado
treatmenttreatment:pre_postpost	0.0650604077440162	0.029318621640753474	2.2190813927480453	0.026491200174661028	0.007593850225189429	0.12252696526284296	panel_semibalanceado
(Intercept)	1.0000000000000346	0.005944256352925729	168.22962211376372	0	0.9883488019504036	1.0116511980496656	ingreso_positivo
treatmenttreatment	2.5459514446266878e-15	0.014554337884449894	1.7492732852841258e-13	0.9999999999998604	-0.02852761777164837	0.02852761777165346	ingreso_positivo
pre_postpost	-0.04052313206393094	0.00963157466670458	-4.207321592388779	2.5948472413200934e-5	-0.05940175662330914	-0.02164450750455274	ingreso_positivo
treatmenttreatment:pre_postpost	0.047947593461220704	0.02511534213990265	1.9090957707895495	0.0562633158623329	-0.001280402099943262	0.09717558902238467	ingreso_positivo
(Intercept)	1.0000000000000167	5.226937528637117e-4	1913.166159957452	0	0.9989754673691614	1.001024532630872	tasa_positiva
treatmenttreatment	-1.2729871526324842e-15	0.0012901476497818498	-9.866988114482343e-13	0.9999999999992127	-0.002528819903780293	0.0025288199037777474	tasa_positiva
pre_postpost	0.039803852146367974	8.714969099993955e-4	45.672969909205506	0	0.03809563004290483	0.04151207424983112	tasa_positiva
treatmenttreatment:pre_postpost	0.031147726750620268	0.002299927490800833	13.542916842032552	1.4215748597147813e-41	0.02663963620999949	0.035655817291241045	tasa_positiva
